movie,people,order,leading
10001,4374,1,1
10001,178,2,1
10001,3241,3,1
10001,47952,4,1
10001,47953,5,0
10001,19538,6,0
10001,18991,7,0
10001,47954,8,0
10001,6038,9,0
10001,24102,10,0
10001,47955,11,0
10001,16903,12,0
10001,47956,13,0
10001,47957,14,0
10001,47958,15,0
10001,47959,16,0
10002,1076,1,1
10002,4603,2,1
10002,917,3,1
10002,8637,4,1
10002,5104,5,1
10002,9986,6,0
10002,7470,7,0
10002,9987,8,0
10003,1076,1,1
10003,4603,2,1
10003,917,3,0
10003,5104,4,0
10003,391,5,0
10003,5106,6,0
10003,5105,7,0
10003,5107,8,0
10003,580,9,0
10003,5108,10,0
10004,1076,1,1
10004,4603,2,1
10004,1031,3,1
10004,5104,4,1
10004,10001,5,0
10004,5984,6,0
10004,10002,7,0
10004,10003,8,0
10004,10004,9,0
10004,5105,10,0
10004,7470,11,0
10004,9987,12,0
10005,1007,1,1
10005,535,2,1
10005,215,3,1
10005,1236,4,0
10005,35,5,0
10006,1007,1,1
10006,535,2,1
10006,215,3,1
10006,149,4,0
10006,3667,5,0
10007,1007,1,1
10007,535,2,1
10007,215,3,1
10007,149,4,0
10007,3667,5,0
10008,1017,1,1
10008,473,2,1
10008,262,3,1
10008,992,4,1
10008,1144,5,0
10008,612,6,0
10008,503,7,0
10008,6735,8,0
10008,10077,9,0
10008,1583,10,0
10008,10080,11,0
10008,1528,12,0
10008,10081,13,0
10008,2631,14,0
10009,473,1,1
10009,262,2,1
10009,1144,3,0
10009,612,4,0
10009,7297,5,0
10009,992,6,0
10009,10077,7,0
10009,1583,8,0
10009,2631,9,0
10010,262,1,1
10010,9598,2,1
10010,612,3,0
10010,7470,4,0
10010,85,5,0
10010,10076,6,0
10010,10114,7,0
10010,1343,8,0
10010,992,9,0
10011,262,1,1
10011,473,2,1
10011,612,3,0
10011,7470,4,0
10011,4849,5,0
10011,5245,6,0
10011,10120,7,0
10011,5708,8,0
10011,992,9,0
10012,187,1,1
10012,29,2,0
10012,10133,3,0
10012,2204,4,0
10012,1286,5,0
10012,10134,6,0
10012,4657,7,0
10012,10136,8,0
10013,687,1,1
10013,5288,2,1
10013,709,3,1
10013,6017,4,0
10013,10160,5,0
10013,10165,6,0
10013,10077,7,0
10013,10163,8,0
10013,10167,9,0
10013,10169,10,0
10013,14518,11,0
10014,5502,1,1
10014,178,2,1
10014,10179,3,0
10014,10180,4,0
10014,10181,5,0
10014,5504,6,0
10014,5503,7,0
10014,5505,8,0
10014,10182,9,0
10015,1491,1,1
10015,1216,2,1
10015,1633,3,0
10015,430,4,0
10016,971,1,1
10016,725,2,1
10016,311,3,1
