movie,genre
10001,드라마
10001,멜로/로맨스
10002,SF
10002,코미디
10003,SF
10003,코미디
10004,서부
10004,SF
10004,판타지
10004,코미디
10005,판타지
10005,모험
10005,SF
10005,액션
10006,판타지
10006,모험
10006,SF
10006,액션
10007,판타지
10007,SF
10007,액션
10007,모험
10008,SF
10008,액션
10008,모험
10008,가족
10009,판타지
10009,SF
10009,액션
10009,모험
10010,액션
10010,코미디
10010,판타지
10010,SF
10010,모험
10011,SF
10011,액션
10011,모험
10011,가족
10012,액션
10012,스릴러
10012,범죄
10013,멜로/로맨스
10013,판타지
10013,SF
10013,모험
10013,가족
10013,스릴러
10013,공포
10014,드라마
10014,전쟁
10015,드라마
10015,액션
10015,스릴러
10016,코미디
10016,가족
10016,모험
10016,범죄
10017,드라마
10017,서부
10018,판타지
10018,SF
10018,모험
10018,가족
10019,드라마
10019,서부
10019,범죄
10020,멜로/로맨스
10020,드라마
10020,전쟁
10021,드라마
10021,액션
10022,드라마
10022,액션
10023,드라마
10023,액션
10024,드라마
10024,액션
10025,드라마
10025,액션
10026,액션
10026,스릴러
10026,범죄
10027,액션
10027,코미디
10027,범죄
10028,SF
10028,액션
10028,스릴러
10029,스릴러
10029,공포
10030,모험
10030,스릴러
10030,공포
10031,스릴러
10031,공포
10032,스릴러
10032,공포
10033,액션
10033,모험
10034,판타지
10034,액션
10034,모험
10035,판타지
10035,액션
10035,모험
10036,액션
10037,SF
10037,공포
10038,SF
10038,액션
10038,스릴러
10038,공포
10039,드라마
10039,전쟁
10040,코미디
10040,스릴러
10040,모험
10040,가족
10041,드라마
10041,액션
10041,모험
10042,드라마
10042,모험
10042,전쟁
10043,드라마
10043,액션
10043,스릴러
10043,전쟁
10044,액션
10044,전쟁
10045,드라마
10045,전쟁
10046,드라마
10046,모험
10046,범죄
10047,드라마
10047,코미디
10047,범죄
10048,드라마
10049,판타지
10049,액션
10049,코미디
10049,공포
10050,스릴러
10050,공포
10050,미스터리
10051,스릴러
10051,공포
10052,스릴러
10052,공포
10053,드라마
10054,드라마
10055,드라마
10055,액션
10055,스릴러
10056,액션
10056,전쟁
10057,액션
10057,전쟁
10058,멜로/로맨스
10058,드라마
10058,액션
10058,모험
10059,멜로/로맨스
10059,드라마
10060,드라마
10061,SF
10061,액션
10061,스릴러
10061,공포
10062,SF
10062,액션
10062,스릴러
10063,드라마
10064,드라마
10065,공포
10066,스릴러
10066,공포
10066,미스터리
10067,멜로/로맨스
10067,드라마
10068,드라마
10068,스릴러
10068,범죄
10069,서부
10070,서부
10070,스릴러
10070,액션
10071,드라마
10071,스릴러
10071,범죄
10072,드라마
10072,범죄
10073,멜로/로맨스
10073,드라마
10074,SF
10074,액션
10074,모험
10074,미스터리
10075,SF
10075,모험
10076,SF
10076,모험
10077,SF
10077,모험
10078,SF
10078,모험
10079,SF
10079,모험
10080,코미디
10080,범죄
10081,코미디
10082,코미디
10083,코미디
10084,코미디
10085,코미디
10086,드라마
10087,멜로/로맨스
10087,드라마
10087,뮤지컬
10088,모험
10088,스릴러
10089,멜로/로맨스
10089,뮤지컬
10089,드라마
10090,드라마
10091,드라마
10091,범죄
10092,판타지
10092,모험
10092,가족
10093,멜로/로맨스
10093,드라마
10094,드라마
10094,가족
10095,판타지
10095,SF
10095,코미디
10096,판타지
10096,SF
10096,코미디
10097,드라마
10097,코미디
10097,전쟁
10098,멜로/로맨스
10098,뮤지컬
10099,멜로/로맨스
10099,드라마
10100,드라마
10100,액션
10101,멜로/로맨스
10101,드라마
10101,코미디
10102,멜로/로맨스
10102,뮤지컬
10102,드라마
10103,멜로/로맨스
10103,드라마
10103,전쟁
10104,멜로/로맨스
10104,드라마
10105,멜로/로맨스
10105,뮤지컬
10105,코미디
10106,멜로/로맨스
10106,드라마
10107,드라마
10108,멜로/로맨스
10108,뮤지컬
10109,액션
10110,드라마
10110,느와르
10110,액션
10110,범죄
10111,드라마
10111,느와르
10111,액션
10111,범죄
10112,드라마
10112,느와르
10112,액션
10112,범죄
10113,드라마
10113,액션
10113,스릴러
10113,범죄
10114,드라마
10115,액션
10115,모험
10115,코미디
10116,판타지
10116,멜로/로맨스
10116,코미디
10117,멜로/로맨스
10117,드라마
10117,코미디
10118,멜로/로맨스
10118,드라마
10118,코미디
10119,SF
10119,공포
10121,서부
10121,코미디
10122,드라마
10122,미스터리
10122,스릴러
10122,범죄
10123,서부
10123,코미디
10124,멜로/로맨스
10124,코미디
10125,SF
10125,멜로/로맨스
10125,코미디
10126,코미디
10126,공포
10127,드라마
10127,뮤지컬
10128,드라마
10128,전쟁
10129,코미디
10130,드라마
10130,스릴러
10130,범죄
10131,액션
10131,코미디
10132,멜로/로맨스
10132,코미디
10133,드라마
10135,스릴러
10135,미스터리
10135,범죄
10136,드라마
10137,판타지
10137,스릴러
10137,공포
10138,드라마
10140,SF
10140,액션
10141,SF
10141,액션
10142,SF
10142,액션
10142,모험
10143,드라마
10143,멜로/로맨스
10143,코미디
10144,멜로/로맨스
10144,드라마
10145,드라마
10145,스릴러
10145,범죄
10146,멜로/로맨스
10146,드라마
10147,드라마
10147,모험
10149,판타지
10149,스릴러
10149,공포
10150,멜로/로맨스
10150,드라마
10150,모험
10150,코미디
10151,드라마
10152,드라마
10153,애니메이션
10153,액션
10153,코미디
10153,SF
10153,가족
10154,멜로/로맨스
10154,드라마
10155,액션
10155,스릴러
10156,모험
10156,액션
10156,스릴러
10157,모험
10157,액션
10157,스릴러
10158,액션
10158,모험
10159,액션
10159,모험
10159,스릴러
10160,액션
10160,모험
10160,코미디
10161,멜로/로맨스
10161,액션
10161,모험
10161,스릴러
10162,액션
10162,모험
10163,액션
10163,모험
10164,액션
10165,액션
10165,스릴러
10166,SF
10166,액션
10167,액션
10167,스릴러
10168,액션
10168,모험
10169,액션
10170,액션
10171,액션
10171,모험
10171,스릴러
10172,액션
10172,모험
10173,멜로/로맨스
10173,드라마
10174,뮤지컬
10175,멜로/로맨스
10175,드라마
10176,드라마
10177,멜로/로맨스
10177,드라마
10177,서부
10177,전쟁
10178,스릴러
10178,공포
10179,서부
10179,스릴러
10180,스릴러
10181,멜로/로맨스
10181,드라마
10181,액션
10182,액션
10182,범죄
10183,액션
10183,코미디
10183,범죄
10184,액션
10185,멜로/로맨스
10185,드라마
10186,액션
10186,코미디
10187,공포
10188,공포
10189,공포
10190,판타지
10190,액션
10190,모험
10191,판타지
10191,액션
10191,모험
10193,액션
10194,액션
10195,액션
10196,액션
10197,액션
10198,액션
10199,멜로/로맨스
10199,드라마
10200,SF
10200,액션
10200,스릴러
10201,드라마
10202,드라마
10203,느와르
10203,액션
10203,범죄
10204,드라마
10205,SF
10205,드라마
10206,코미디
10206,전쟁
10207,드라마
10208,드라마
10209,멜로/로맨스
10209,액션
10209,모험
10210,액션
10210,모험
10211,액션
10211,모험
10211,코미디
10211,범죄
10212,멜로/로맨스
10212,드라마
10212,모험
10212,전쟁
10213,드라마
10214,액션
10214,코미디
10215,드라마
10216,코미디
10216,액션
10216,스릴러
10216,범죄
10217,SF
10217,액션
10217,범죄
10218,SF
10218,액션
10218,스릴러
10218,범죄
10219,코미디
10220,코미디
10220,범죄
10221,미스터리
10221,코미디
10221,범죄
10222,코미디
10222,범죄
10223,코미디
10223,범죄
10224,코미디
10224,범죄
10225,코미디
10225,범죄
10226,코미디
10226,범죄
10227,코미디
10227,범죄
10228,판타지
10228,드라마
10228,공포
10229,드라마
10229,뮤지컬
10229,코미디
10230,드라마
10230,코미디
10231,코미디
10231,범죄
10232,SF
10232,드라마
10233,전쟁
10234,공포
10235,멜로/로맨스
10235,뮤지컬
10235,전쟁
10236,멜로/로맨스
10236,액션
