movie	title	title_eng	year	grade
10001	시네마 천국	Cinema Paradiso , 1988	2013	전체 관람가
10002	빽 투 더 퓨쳐	Back To The Future , 1985	2015	12세 관람가
10003	빽 투 더 퓨쳐 2	Back To The Future Part 2 , 1989	2015	12세 관람가
10004	빽 투 더 퓨쳐 3	Back To The Future Part III , 1990	1990	전체 관람가
10005	스타워즈 에피소드 4 - 새로운 희망	Star Wars , 1977	1997	PG
10006	스타워즈 에피소드 5 - 제국의 역습	Star Wars Episode V: The Empire Strikes Back , 1980	1997	PG
10007	스타워즈 에피소드 6 - 제다이의 귀환	Star Wars: Episode VI: Return Of The Jedi , 1983	1997	PG
10008	슈퍼맨	Superman , 1978	1979	PG
10009	슈퍼맨 2	Superman II , 1980	1981	PG
10010	슈퍼맨 3	Superman III , 1983		전체 관람가
10011	슈퍼맨 4 - 최강의 적	Superman IV: The Quest For Peace , 1987	1990	전체 관람가
10012	다이 하드	Die Hard , 1988	1988	15세 관람가
10013	킹콩	King Kong , 1976	1977	12세 관람가
10014	금지된 장난	Jeux Interdits , Forbidden Games , 1952	1992	12세 관람가
10015	타워링	The Towering Inferno , 1974	2012	PG
10016	나 홀로 집에	Home Alone , 1990	1991	전체 관람가
10017	셰인	Shane , 1953	1956	NR
10018	이티	The Extra-Terrestrial , E.T. , 1982	2011	전체 관람가
10019	내일을 향해 쏴라	Butch Cassidy And The Sundance Kid , 1969	1970	15세 관람가
10020	바람과 함께 사라지다	Gone With The Wind , 1939	1995	12세 관람가
10021	록키	Rocky , 1976	2017	12세 관람가
10022	록키 2	Rocky II , 1979	1980	12세 관람가
10023	록키 3	Rocky III , 1982	1982	12세 관람가
10024	록키 4	Rocky IV , 1985	1987	12세 관람가
10025	록키 5	Rocky V , 1990	1990	15세 관람가
10026	리썰 웨폰	Lethal Weapon , 1987	1987	청소년 관람불가
10027	리썰 웨폰 2	Lethal Weapon 2 , 1989	1990	청소년 관람불가
10028	터미네이터	The Terminator , 1984	1984	청소년 관람불가
10029	죠스	Jaws , 1975	1978	12세 관람가
10030	죠스 2	Jaws 2 , 1978	1979	12세 관람가
10031	죠스 3	Jaws 3-D , 1983		15세 관람가
10032	죠스 4	Jaws: The Revenge , 1987		PG-13
10033	레이더스	Raiders Of The Lost Ark , 1981	1982	12세 관람가
10034	인디아나 존스	Indiana Jones And The Temple Of Doom , 1984	1985	12세 관람가
10035	인디아나 존스 - 최후의 성전	Indiana Jones And The Last Crusade , 1989	1989	12세 관람가
10036	코만도	Commando , 1985	1985	청소년 관람불가
10037	에이리언	Alien , 1979	1987	15세 관람가
10038	에이리언 2	Aliens , 1986	1986	15세 관람가
10039	플래툰	Platoon , 1986	2017	15세 관람가
10040	구니스	The Goonies , 1985	1986	전체 관람가
10041	포세이돈 어드벤쳐	The Poseidon Adventure , 1972	1978	15세 관람가
10042	콰이강의 다리	The Bridge On The River Kwai , 1957	1981	PG
10043	나바론 요새	The Guns Of Navarone , 1961	1977	PG
10044	나바론 요새 2	Force 10 From Navarone , 1978	1979	PG
10045	킬링 필드	The Killing Fields , 1984	1985	15세 관람가
10046	빠삐용	Papillon , 1973	2016	청소년 관람불가
10047	스팅	The Sting , 1973	1978	15세 관람가
10048	죽은 시인의 사회	Dead Poets Society , 1989	2016	12세 관람가
10049	그렘린	Gremlins , 1984	1985	PG
10050	싸이코	Psycho , 1960	1962	청소년 관람불가
10051	싸이코 2	Psycho II , 1983		청소년 관람불가
10052	싸이코 3	Psycho III , 1986		청소년 관람불가
10053	자이언트	Giant , 1956	1974	12세 관람가
10054	라 밤바	La Bamba , 1987	1988	12세 관람가
10055	람보	First Blood , 1982	1983	15세 관람가
10056	람보 2	Rambo: First Blood Part II , 1985	1985	15세 관람가
10057	람보 3	Rambo III , 1988	1988	15세 관람가
10058	벤허	Ben-Hur , 1959	2019	전체 관람가
10059	끝없는 사랑	Endless Love , 1981	1981	R
10060	스미스씨 워싱톤 가다	Mr. Smith Goes To Washington , 1939		12세 관람가
10061	프레데터	Predator , 1987	1987	청소년 관람불가
10062	프레데터 2	Predator 2 , 1990	1990	15세 관람가
10063	별들의 고향	Heavenly Homecoming to Stars , 1974	1974	청소년 관람불가
10064	십계	The Ten Commandments , 1956	1982	전체 관람가
10065	엑소시스트	The Exorcist , 1973	2001	15세 관람가
10066	오멘	The Omen , 1976	1977	청소년 관람불가
10067	영자의 전성시대	英子의 全盛時代 , Yeong-Ja's Heydays , 1975	1975	청소년 관람불가
10068	언터처블	The Untouchables , 1987	1989	청소년 관람불가
10069	황야의 무법자	Per Un Pugno Di Dollari , A Fistful Of Dollars , 1964	1966	15세 관람가
10070	OK 목장의 결투	Gunfight At The O.K. Corral , 1957	1958	12세 관람가
10071	대부	Mario Puzo's The Godfather , 1972	2010	청소년 관람불가
10072	대부 2	Mario Puzo's The Godfather Part II , 1974	2010	청소년 관람불가
10073	티파니에서 아침을	Breakfast At Tiffany's , 1961	2012	15세 관람가
10074	스타 트랙	Star Trek: The Motion Picture , 1979		G
10075	스타 트랙 2 - 칸의 분노	Star Trek II: The Wrath Of Khan , 1982		PG
10076	스타 트랙 3 - 스포크를 찾아서	Star Trek III: The Search For Spock , 1984		PG
10077	스타 트랙 4 - 귀환의 항로	Star Trek IV: The Voyage Home , 1986		12세 관람가
10078	스타 트랙 5 - 최후의 결전	Star Trek V: The Final Frontier , 1989		PG
10079	스타 트랙 6 - 미지의 세계	Star Trek VI: The Undiscovered Country , 1991		PG
10080	폴리스 아카데미	Police Academy , 1984	1985	R
10081	폴리스 아카데미 2 - 첫임무	Police Academy 2: Their First Assignment , 1985	1987	PG-13
10082	폴리스 아카데미 3 - 재훈련	Police Academy 3: Back In Training , 1986	1986	PG
10083	폴리스 아카데미 4 - 시민 순찰대	Police Academy 4: Citizens On Patrol , 1987		PG
10084	폴리스 아카데미 5 - 마이애미 비치 임무	Police Academy 5: Assignment Miami Beach , 1988		PG
10085	폴리스 아카데미 6	Police Academy 6: City Under Siege , 1989		PG
10086	미션	The Mission , 1986	2019	12세 관람가
10087	토요일 밤의 열기	Saturday Night Fever , 1977	1978	청소년 관람불가
10088	파이어폭스	Firefox , 1982	1983	12세 관람가
10089	그리스	Grease , 1978	1980	12세 관람가
10090	챔프	The Champ , 1979	1979	NR
10091	네 멋대로 해라	A Bout De Souffle , Breathless , 1959		NR
10092	네버엔딩 스토리	The NeverEnding Story , 1984	1988	전체 관람가
10093	러브 스토리	Love Story , 1970	1971	15세 관람가
10094	마이 웨이	The Winners , My Way , 1975	1979	NR
10095	고스트버스터즈	Ghostbusters , 1984	1984	12세 관람가
