people	korean	original
5	아담 볼드윈	Adam Baldwin
8	애드리안 라인	Adrian Lyne
9	에이단 퀸	Aidan Quinn
13	구로사와 아키라	Akira Kurosawa
15	알 파치노	Al Pacino
24	알랭 들롱	Alain Delon
27	앨런 베이츠	Alan Bates
28	알란 파커	Alan Parker
29	앨런 릭먼	Alan Rickman
34	알렉 볼드윈	Alec Baldwin
35	알렉 기네스	Alec Guinness
48	알프레드 히치콕	Alfred Hitchcock
57	에이미 해커링	Amy Heckerling
58	에이미 어빙	Amy Irving
60	아나톨 리트박	Anatole Litvak
61	앤디 맥도웰	Andie MacDowell
65	안드레이 콘찰로프스키	Andrei Konchalovsky
71	앤디 가르시아	Andy Garcia
75	안젤리카 휴스턴	Anjelica Huston
78	안나 카리나	Anna Karina
80	아나벨라 시오라	Annabella Sciorra
83	안느 파릴로드	Anne Parillaud
84	아네트 베닝	Annette Bening
85	아네트 오툴	Annette O'Toole
86	아누크 에메	Anouk Aimee
89	안소니 히긴스	Anthony Higgins
90	안소니 홉킨스	Anthony Hopkins
96	아를레티	Arletty
99	아놀드 슈왈제네거	Arnold Schwarzenegger
107	오드리 헵번	Audrey Hepburn
108	에바 가드너	Ava Gardner
112	바바라 바흐	Barbara Bach
114	바바라 허쉬	Barbara Hershey
115	바바라 파킨스	Barbara Parkins
116	바벳 슈로더	Barbet Schroeder
117	바브라 스트라이샌드	Barbra Streisand
122	배리 레빈슨	Barry Levinson
134	베르나르도 베르톨루치	Bernardo Bertolucci
135	베티 데이비스	Bette Davis
137	베트 미들러	Bette Midler
144	빌 머레이	Bill Murray
146	빌 풀만	Bill Pullman
147	빌 어거스트	Bille August
148	빌리 크리스탈	Billy Crystal
149	빌리 디 윌리엄스	Billy Dee Williams
150	빌리 아이돌	Billy Idol
151	빌리 와일더	Billy Wilder
152	블레이크 에드워즈	Blake Edwards
153	블리드 대너	Blythe Danner
154	보 비더버그	Bo Widerberg
156	봅 라펠슨	Bob Rafelson
159	브래드 피트	Brad Pitt
165	브레킨 메이어	Breckin Meyer
170	브라이언 드 팔마	Brian De Palma
175	브리짓 폰다	Bridget Fonda
178	브리지트 포시	Brigitte Fossey
179	브리짓 닐슨	Brigitte Nielsen
181	브릿 에클랜드	Britt Ekland
183	브룩 쉴즈	Brooke Shields
184	브루스 베레스포드	Bruce Beresford
185	브루스 던	Bruce Dern
186	브루스 그린우드	Bruce Greenwood
187	브루스 윌리스	Bruce Willis
191	브루노 강쯔	Bruno Ganz
197	버트 랭카스터	Burt Lancaster
198	버트 영	Burt Young
202	캠벨 스코트	Campbell Scott
205	캔디스 버겐	Candice Bergen
206	캐푸시느	Capucine
208	칼 웨더스	Carl Weathers
209	카를로스 사우라	Carlos Saura
211	캐롤 부케	Carole Bouquet
215	캐리 피셔	Carrie Frances Fisher
217	캐리 그랜트	Cary Grant
222	카트린느 브레야	Catherine Breillat
226	찰리 채플린	Charles Chaplin
227	찰스 코번	Charles Coburn
228	찰스 댄스	Charles Dance
229	찰스 그레이	Charles Gray
230	찰스 로튼	Charles Laughton
232	찰리 쉰	Charlie Sheen
234	샤를로뜨 갱스부르	Charlotte Gainsbourg
235	샬롯 램플링	Charlotte Rampling
237	찰톤 헤스톤	Charlton Heston
240	셰어	Cher
241	로버트 맨델	Robert Mandel
244	크리스 콜럼버스	Chris Columbus
247	크리스찬 슬레이터	Christian Slater
256	이미례	LEE Mirye
260	크리스토퍼 램버트	Christopher Lambert
262	크리스토퍼 리브	Christopher Reeve
263	크리스토퍼 월켄	Christopher Walken
265	척 코너스	Chuck Connors
271	클랜시 브라운	Clancy Brown
279	클라크 게이블	Clark Gable
280	클로드 베리	Claude Berri
281	끌로드 샤브롤	Claude Chabrol
283	클로드 레인스	Claude Rains
285	끌로드 지디	Claude Zidi
286	클로데트 콜베르	Claudette Colbert
288	클라우디안 아우거	Claudine Auger
290	클린트 이스트우드	Clint Eastwood
298	코스타 가브라스	Costa-Gavras
299	코스타스 맨다이어	Costas Mandylor
302	커트 주겐스	Curt Jurgens
305	커티스 핸슨	Curtis Hanson
306	신시아 로즈록	Cynthia Rothrock
308	댄 애크로이드	Dan Aykroyd
309	다니엘 데이 루이스	Daniel Day-Lewis
311	다니엘 스턴	Daniel Stern
313	다니엘라 비안키	Daniela Bianchi
317	대니 드비토	Danny DeVito
320	대릴 한나	Daryl Hannah
323	데이빗 카루소	David Caruso
330	데이비드 린	David Lean
335	데이빗 S. 워드	David S. Ward
337	데이비드 소울	David Soul
341	딘 스톡웰	Dean Stockwell
343	데브라 윙거	Debra Winger
345	데미 무어	Demi Moore
346	덴홈 엘리어트	Denholm Elliott
347	드니 라방	Denis Lavant
351	데니스 호퍼	Dennis Hopper
352	데니스 퀘이드	Dennis Quaid
353	덴젤 워싱턴	Denzel Washington
354	더모트 멀로니	Dermot Mulroney
357	다이안 키튼	Diane Keaton
359	다이안 래드	Diane Ladd
360	다이안 레인	Diane Lane
361	다이앤 위스트	Dianne Wiest
362	딕 리처즈	Dick Richards
364	돌프 룬드그렌	Dolph Lundgren
367	돈 시겔	Don Siegel
368	도널드 크리스프	Donald Crisp
369	도날드 페트리	Donald Petrie
375	드류 베리모어	Drew Barrymore
376	더스틴 호프만	Dustin Hoffman
377	드와이트 H. 리틀	Dwight H. Little
379	에드 해리스	Ed Harris
380	에디 머피	Eddie Murphy
384	에드워드 D.  우드 주니어	Edward D. Wood Jr.
385	에드워드 폭스	Edward Fox
386	에드워드 펄롱	Edward Furlong
391	엘리자베스 슈	Elisabeth Shue
394	엘렌 바킨	Ellen Barkin
395	엘렌 버스틴	Ellen Burstyn
397	엘리어트 실버스타인	Elliot Silverstein
401	에밀 아돌리노	Emile Ardolino
402	에밀리오 에스테베즈	Emilio Estevez
403	에밀 쿠스트리차	Emir Kusturica
404	엠마 톰슨	Emma Thompson
405	엠마누엘 베아르	Emmanuelle Beart
412	에릭 로버츠	Eric Roberts
418	에단 코엔	Ethan Coen
